category_id,category_name,description
1,Vegetables,"Fresh and frozen vegetables"
2,Fruits,"Fresh, frozen, and dried fruits"
3,Bakery,"Bread, cakes, pastries, and other baked goods"
4,Beverages,"Juices, sodas, and alcoholic drinks"
5,Meat,"Beef, pork, lamb, and other meats"
6,Seafood,"Fresh and frozen fish and seafood"
7,Dairy,"Milk, cheese, yogurt, and other dairy products"
8,Grains,"Rice, wheat, oats, and other grains"
9,Condiments,"Spices, sauces, and condiments"
10,Snacks,"Chips, nuts, and other snacks"
